Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
13-09-22,SPXW220913C01000000,0,0,0,0,0,0,0,0,0,1000,SPXW220913P01000000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C01200000,0,0,0,0,0,0,0,0,0,1200,SPXW220913P01200000,0.05,0.025,0,0,10,0,0,0,0
13-09-22,SPXW220913C01400000,0,0,0,0,0,0,0,0,0,1400,SPXW220913P01400000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C01600000,0,0,0,0,0,0,0,0,0,1600,SPXW220913P01600000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C01800000,0,0,0,0,0,0,0,0,0,1800,SPXW220913P01800000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C02000000,0,0,0,0,0,0,0,0,0,2000,SPXW220913P02000000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C02200000,0,0,0,0,0,0,0,0,0,2200,SPXW220913P02200000,0,0,0,0,0,0,0,0,0
13-09-22,SPXW220913C02400000,0,0,0,0,0,0,0,0,0,2400,SPXW220913P02400000,0.05,0,0,0,0,0,0,0,3
13-09-22,SPXW220913C02600000,0,0,0,0,0,0,0,0,0,2600,SPXW220913P02600000,0.05,0,0,0,0,0,0,0,69
13-09-22,SPXW220913C02800000,1313.8,0,0,0,0,0,0,0,5,2800,SPXW220913P02800000,0.05,0,0,0,0,0,0,0,91
13-09-22,SPXW220913C03000000,979.87,-128.63,0,0,4,0,0,0,0,3000,SPXW220913P03000000,0.05,0,0,0,0,0,0,0,202
13-09-22,SPXW220913C03100000,0,0,0,0,0,0,0,0,0,3100,SPXW220913P03100000,0.05,0,0,0,0,0,0,0,160
13-09-22,SPXW220913C03150000,0,0,0,0,0,0,0,0,0,3150,SPXW220913P03150000,0.05,0,0,0,0,0,0,0,15
13-09-22,SPXW220913C03200000,779.92,-128.58,0,0,4,0,0,0,1,3200,SPXW220913P03200000,0.05,0.025,0,0,1,0,0,0,320
13-09-22,SPXW220913C03250000,0,0,0,0,0,0,0,0,0,3250,SPXW220913P03250000,0.05,0,0,0,0,0,0,0,11090
13-09-22,SPXW220913C03300000,591,0,0,0,0,0,0,0,3,3300,SPXW220913P03300000,0.1,0,0,0,0,0,0,0,5884
13-09-22,SPXW220913C03325000,0,0,0,0,0,0,0,0,0,3325,SPXW220913P03325000,0.05,0,0,0,0,0,0,0,3000
13-09-22,SPXW220913C03350000,547.4,0,0,0,0,0,0,0,2,3350,SPXW220913P03350000,0.05,0,0,0,0,0,0,0,4003
13-09-22,SPXW220913C03375000,0,0,0,0,0,0,0,0,0,3375,SPXW220913P03375000,0.05,0,0,0,0,0,0,0,3551
13-09-22,SPXW220913C03400000,506.8,0,0,0,0,0,0,0,3,3400,SPXW220913P03400000,0.05,0.025,0,0,9,0,0,0,12583
13-09-22,SPXW220913C03425000,0,0,0,0,0,0,0,0,0,3425,SPXW220913P03425000,0.05,0,0,0,0,0,0,0,3036
13-09-22,SPXW220913C03450000,0,0,0,0,0,0,0,0,0,3450,SPXW220913P03450000,0.05,0,0,0,0,0,0,0,256
13-09-22,SPXW220913C03475000,0,0,0,0,0,0,0,0,0,3475,SPXW220913P03475000,0.1,0,0,0,0,0,0,0,342
13-09-22,SPXW220913C03500000,0,0,0,0,0,0,0,0,0,3500,SPXW220913P03500000,0.05,0.025,0,0,1,0,0,0,362
13-09-22,SPXW220913C03525000,0,0,0,0,0,0,0,0,0,3525,SPXW220913P03525000,0.07,0,0,0,0,0,0,0,168
13-09-22,SPXW220913C03550000,0,0,0,0,0,0,0,0,0,3550,SPXW220913P03550000,0.05,0.025,0,0,7,0,0,0,2402
13-09-22,SPXW220913C03575000,0,0,0,0,0,0,0,0,0,3575,SPXW220913P03575000,0.05,0,0,0,0,0,0,0,3236
13-09-22,SPXW220913C03600000,0,0,0,0,0,0,0,0,0,3600,SPXW220913P03600000,0.05,0,0,0,0,0,0,0,5065
13-09-22,SPXW220913C03610000,0,0,0,0,0,0,0,0,0,3610,SPXW220913P03610000,0.05,0,0,0,0,0,0,0,27
13-09-22,SPXW220913C03620000,0,0,0,0,0,0,0,0,0,3620,SPXW220913P03620000,0.05,0,0,0,0,0,0,0,1660
13-09-22,SPXW220913C03625000,0,0,0,0,0,0,0,0,0,3625,SPXW220913P03625000,0.05,0.025,0,0,582,0,0,0,11125
13-09-22,SPXW220913C03630000,0,0,0,0,0,0,0,0,0,3630,SPXW220913P03630000,0.05,-0.025,0,0,448,0,0,0,2178
